a,b,obs,expA,expB,null_mean,null_sd,z,ratioA,ratioB
12:0,18:3,90.0,119.43106574440938,77.04901772330793,79.21,8.955216356962016,1.2048843456039544,0.7535727780626703,1.1680875715145465
12:0,18:4,45.0,60.925122557249345,39.30485605607979,41.0,6.284106937345991,0.6365264054034935,0.738611563033213,1.144896700188761
12:0,19:0,46.0,65.06319253240213,41.974464879115516,43.72,6.650684175331136,0.34282187214016674,0.7070049625537748,1.0959043821637235
12:0,19:1,45.0,62.3893627023034,40.249486870384736,41.085,6.392008682722513,0.6124835234630039,0.7212768018599846,1.1180266755924944
12:0,20:0,46.0,107.27150627896044,69.20447487407988,71.37,7.92547159480116,-3.2010713427629796,0.42881844019582066,0.6646969012292733
12:0,20:1,46.0,63.53528977234571,40.988763159840786,42.565,7.065109694831357,0.48619202650355947,0.7240070859017613,1.1222587961636528
12:0,20:2,46.0,62.83500100731986,40.5369832051732,41.67,6.763955943085378,0.6401579248052981,0.7320760605166745,1.13476623968726
12:0,20:3,46.0,64.55389161238332,41.64589763935727,43.125,6.654274941719796,0.4320530824440141,0.7125829109762897,1.104550570583161
12:0,20:4,46.0,107.5898193539722,69.40982939892879,71.64,8.275288514607812,-3.098381398393473,0.4275497465857738,0.6627303423498967
12:0,20:5,46.0,62.51668793230811,40.3316286803243,42.25,6.5861597308294915,0.5693758052126239,0.7358035353665557,1.1405440718648936
12:0,21:0,46.0,62.64401316231281,40.41377049026386,41.355,5.974025025056388,0.7775327322061493,0.7343079997255668,1.1382258928570381
12:0,22:0,46.0,63.853602847357465,41.19411768468969,42.62,6.338422516683469,0.5332557100924477,0.7203978780956708,1.1166642857141829
12:0,22:1,46.0,81.67913504801558,52.69397107622819,54.07,6.945149386442311,-1.1619620473180203,0.563179323250162,0.8729651430797548
12:0,22:2,46.0,63.598952387348064,41.02983406481056,42.59,6.801610103497552,0.501351878174624,0.7232823540840418,1.121135413985311
12:0,22:4,46.0,62.32570008730105,40.20841596541496,41.71,6.109492613957399,0.7021859704354678,0.7380582959447987,1.1440390996642753
12:0,22:6,46.0,63.02598885232691,40.660195920082536,41.73,7.092749819357789,0.6020232080294394,0.7298576482120785,1.1313275541124501
13:0,14:0,45.0,64.35417366194345,41.51705283832338,42.54,6.207930411981113,0.39626732852099583,0.6992553464579913,1.0838919654350223
13:0,14:1,45.0,60.66953193203949,39.13996590384879,40.55,5.832452314421437,0.7629723759587103,0.741723210431356,1.1497199591473064
13:0,15:0,45.0,60.22483379222349,38.8530761014122,40.205,6.389285953844922,0.7504750976303515,0.7472000695801108,1.1582094525165378
13:0,15:1,45.0,60.097777180847494,38.771107586430325,40.635,6.628104932784329,0.6585592781444327,0.748779773744128,1.160658098293528
